ContractName,Year,Month,TotalPayoff
O1,2017.0,6.0,-20099.999999999967
O1,2017.0,7.0,-14299.999999999993
S1,2017.0,1.0,198300.0
S1,2017.0,2.0,-97700.0
S1,2017.0,3.0,-97700.00000000001
O2,2018.0,10.0,507430.0
O2,2018.0,11.0,598010.0
O2,2018.0,12.0,43140.0
O2,2019.0,1.0,-1320540.0
O2,2019.0,2.0,-1680820.0
O2,2019.0,3.0,678800.0
O2,2019.0,4.0,-730570.0
O2,2019.0,5.0,-1097720.0
O2,2019.0,6.0,773630.0
O2,2019.0,7.0,3355940.0
O2,2019.0,8.0,75340320.0
O2,2019.0,9.0,39174380.0
S2,2017.0,1.0,1481940.0
S2,2017.0,2.0,-1042810.0
S2,2017.0,3.0,169240.0
S2,2017.0,4.0,295600.0
S2,2017.0,5.0,1800420.0
S2,2017.0,6.0,3521210.0
S2,2017.0,7.0,7182810.0
S2,2017.0,8.0,4339550.0
S2,2017.0,9.0,1689200.0
S2,2017.0,10.0,301990.0
S2,2017.0,11.0,429270.0
S2,2017.0,12.0,-34970.0
S2,2018.0,1.0,12339910.0
S2,2018.0,2.0,515440.0
S2,2018.0,3.0,1194750.0
S2,2018.0,4.0,1816500.0
S2,2018.0,5.0,10643770.0
S2,2018.0,6.0,6632560.0
S2,2018.0,7.0,43128530.0
S2,2018.0,8.0,7888670.0
S2,2018.0,9.0,4535740.0
S2,2018.0,10.0,6721420.0
S2,2018.0,11.0,7369120.0
S2,2018.0,12.0,6966000.0
